Time	PID	Status
1	2	Arrived
1	2	Running
3	9	Arrived
3	13	Arrived
5	3	Arrived
5	5	Arrived
5	11	Arrived
6	6	Arrived
7	16	Arrived
8	1	Arrived
8	7	Arrived
16	2	Exit
16	8	Arrived
16	9	Running
32	9	Exit
32	18	Arrived
32	13	Running
45	13	Exit
45	12	Arrived
45	3	Running
55	3	Exit
55	20	Arrived
55	5	Running
58	5	Exit
58	15	Arrived
58	11	Running
70	11	Exit
70	10	Arrived
70	6	Running
76	6	Exit
76	14	Arrived
76	16	Running
84	16	Exit
84	4	Arrived
84	1	Running
86	1	Exit
86	17	Arrived
86	7	Running
88	7	Exit
88	19	Arrived
88	8	Running
90	8	Exit
90	18	Running
100	18	Exit
100	12	Running
