Time	PID	Status
1	2	Arrived
1	2	Running
3	9	Arrived
3	13	Arrived
5	3	Arrived
5	5	Arrived
5	11	Arrived
6	6	Arrived
6	9	Running
7	16	Arrived
8	1	Arrived
8	7	Arrived
11	13	Running
12	8	Arrived
16	3	Running
21	5	Running
24	5	Exit
24	18	Arrived
24	11	Running
29	2	Running
34	6	Running
39	16	Running
44	1	Running
46	1	Exit
46	12	Arrived
46	7	Running
48	7	Exit
48	20	Arrived
48	9	Running
53	8	Running
55	8	Exit
55	15	Arrived
55	13	Running
60	3	Running
65	3	Exit
65	10	Arrived
65	18	Running
70	11	Running
75	2	Running
80	2	Exit
80	14	Arrived
80	6	Running
81	6	Exit
81	4	Arrived
81	16	Running
84	16	Exit
84	17	Arrived
84	12	Running
87	12	Exit
87	19	Arrived
87	20	Running
92	9	Running
97	15	Running
