Time	PID	Status
1	2	Arrived
1	2	Running
3	9	Arrived
3	13	Arrived
3	13	Running
5	3	Arrived
5	5	Arrived
5	11	Arrived
5	5	Running
6	6	Arrived
7	16	Arrived
8	5	Exit
8	1	Arrived
8	7	Arrived
8	1	Running
10	1	Exit
10	7	Running
12	7	Exit
12	8	Arrived
12	8	Running
13	18	Arrived
14	8	Exit
14	12	Arrived
14	12	Running
15	20	Arrived
16	15	Arrived
17	12	Exit
17	10	Arrived
17	6	Running
23	6	Exit
23	14	Arrived
23	14	Running
25	14	Exit
25	4	Arrived
25	16	Running
33	16	Exit
33	17	Arrived
33	10	Running
41	10	Exit
41	19	Arrived
41	19	Running
49	19	Exit
49	3	Running
59	3	Exit
59	18	Running
69	18	Exit
80	13	Exit
80	11	Running
92	11	Exit
92	17	Running
